Широта;Долгота;Описание;Подпись;"Номер метки"
55.837803;37.484406;"Школа № 224";"Школа № 224";338
55.8959981;37.5893826;"Школа № 953";"Школа № 953";339
55.6066615;37.7147416;"Школа № 544";"Школа № 544";340
55.6687001;37.7699485;"Колледж Архитектуры, Дизайна и Реинжиниринга № 26";"Колледж Архитектуры, Дизайна и Реинжиниринга № 26";341
55.6170618;37.7387382;"Школа № 1569 Созвездие";"Школа № 1569 Созвездие";342
55.8132;37.56908;"Школа № 1454 Тимирязевская";"Школа № 1454 Тимирязевская";343
55.6193207;37.7011697;"Школа № 937 имени Героя Российской Федерации А.В. Перова";"Школа № 937 имени Героя Российской Федерации А.В. Перова";344
55.7730192;37.6727301;"Школа № 345 имени А.С. Пушкина";"Школа № 345 имени А.С. Пушкина";345
55.65768;37.3905578;"Школа № 1000";"Школа № 1000";346
55.6520279;37.6082764;"Школа № 2016";"Школа № 2016";347
55.866783;37.601395;"Школа № 1411";"Школа № 1411";348
55.906587;37.5529985;"Школа № 1573";"Школа № 1573";349
55.8029908;37.463076;"Школа № 1874";"Школа № 1874";350
55.652883;37.402228;"Школа № 1002";"Школа № 1002";351
55.8466967;37.4561779;"Школа № 1551";"Школа № 1551";352
55.5955261;37.3467697;"Школа № 2065";"Школа № 2065";353
55.5405124;37.5779044;"Школа № 1355";"Школа № 1355";354
55.6825116;37.8599839;"Школа № 1905";"Школа № 1905";355
55.7801156;37.5687524;"Кадетская школа № 1784 имени генерала армии В.А. Матросова";"Кадетская школа № 1784 имени генерала армии В.А. Матросова";356
55.7540471;37.620405;"Школа № 1392 имени Д.В. Рябинкина";"Школа № 1392 имени Д.В. Рябинкина";357
55.6664896;37.4555792;"Школа № 1741";"Школа № 1741";358
55.7594103;37.5557041;"Школа № 2030";"Школа № 2030";359
55.882172;37.521857;"Школа № 236 имени Героя Советского Союза Г. И. Щедрина";"Школа № 236 имени Героя Советского Союза Г. И. Щедрина";360
55.9677892;37.1912217;"Школа № 2045";"Школа № 2045";361
55.8555751;37.5015797;"Школа № 648 имени Героя Российской Федерации А.Г. Карлова";"Школа № 648 имени Героя Российской Федерации А.Г. Карлова";362
55.859111;37.522984;"Школа № 1159";"Школа № 1159";363
55.6646859;37.5591213;"Школа № 1948 Лингвист-М";"Школа № 1948 Лингвист-М";364
55.6685591;37.6536677;"Школа № 507";"Школа № 507";365
55.8728693;37.6916277;"Школа № 1381";"Школа № 1381";366
55.7868155;37.5921741;"Школа № 1540";"Школа № 1540";367
55.637642;37.516647;"Школа № 113";"Школа № 113";368
55.8776607;37.6726334;"Московское суворовское военное училище Министерства обороны РФ";"Московское суворовское военное училище Министерства обороны РФ";369
55.8708103;37.5528527;"Школа № 656 имени А.С. Макаренко";"Школа № 656 имени А.С. Макаренко";370
55.7257592;37.4554948;"Школа № 712";"Школа № 712";371
55.763213;37.8269875;"Школа № 922";"Школа № 922";372
55.764427;37.4914516;"Образовательный центр Протон";"Образовательный центр Протон";373
55.7146322;37.7522189;"Школа № 1367";"Школа № 1367";374
55.7108415;37.7573552;"Школа № 825";"Школа № 825";375
55.7323555;37.7200432;"Школа № 1222 имени Маршала Советского Союза И.Х. Баграмяна";"Школа № 1222 имени Маршала Советского Союза И.Х. Баграмяна";376
55.643826;37.5955473;"Школа № 536";"Школа № 536";377
55.7809679;37.8366081;"Школа № 1373";"Школа № 1373";378
55.6620324;37.4658282;"Школа № 14";"Школа № 14";379
55.856136;37.473324;"Школа № 167 имени Маршала Л.А. Говорова";"Школа № 167 имени Маршала Л.А. Говорова";380
55.6390898;37.363473;"Школа № 1015";"Школа № 1015";381
55.6229891;37.7336457;"Школа № 878";"Школа № 878";382
55.59163;37.640075;"Школа № 2001";"Школа № 2001";383
55.7542256;37.5972273;"Школа № 91";"Школа № 91";384
55.6167631;37.5854432;"Школа № 556";"Школа № 556";385
55.7873713;37.5738417;"Специальная (коррекционная) общеобразовательная школа-интернат № 52";"Специальная (коррекционная) общеобразовательная школа-интернат № 52";386
55.7874486;37.6373771;"Школа № 1297";"Школа № 1297";387
55.8786297;37.6524441;"Школа № 967";"Школа № 967";388
55.6844409;37.9207742;"Школа № 2089";"Школа № 2089";389
55.8353978;37.661038;"Школа № 1499 имени Героя Советского Союза Ивана Архиповича Докукина";"Школа № 1499 имени Героя Советского Союза Ивана Архиповича Докукина";390
55.649845;37.525001;"Школа № 170 имени А.П.Чехова";"Школа № 170 имени А.П.Чехова";391
55.7970693;37.4047807;"Школа № 1619 имени М.И. Цветаевой";"Школа № 1619 имени М.И. Цветаевой";392
55.81324;37.8041573;"Школа № 1352";"Школа № 1352";393
55.9034647;37.5839875;"Школа № 166";"Школа № 166";394
55.643444;37.53402;"Школа № 49";"Школа № 49";395
55.627976;37.606721;"Школа № 851";"Школа № 851";396
55.7622419;37.8379885;"Школа № 1504";"Школа № 1504";397
55.8102771;37.6417998;"Школа № 1539";"Школа № 1539";398
55.8593636;37.6684959;"Школа № 281";"Школа № 281";399
55.5325098;37.5287511;"Школа № 1980";"Школа № 1980";400
55.6489978;37.722393;"Школа № 491 Марьино";"Школа № 491 Марьино";401
55.6576092;37.4065927;"Школа № 1347";"Школа № 1347";402
55.6288357;37.6739686;"Школа № 1466 имени Надежды Рушевой";"Школа № 1466 имени Надежды Рушевой";403
55.6694149;37.5638415;"Школа № 2115";"Школа № 2115";404
55.8290781;37.7612978;"Школа № 1246";"Школа № 1246";405
55.6869843;37.5296185;"Школа № 118";"Школа № 118";406
55.7353483;37.6846512;"Школа № 480 им. В.В.Талалихина";"Школа № 480 им. В.В.Талалихина";407
55.578358;37.644855;"Школа № 667 имени Героя Советского Союза К.Я. Самсонова";"Школа № 667 имени Героя Советского Союза К.Я. Самсонова";408
55.5811502;37.6887144;"Школа № 935";"Школа № 935";409
55.6881691;37.9231748;"Школа в Некрасовке (№ 1595)";"Школа в Некрасовке (№ 1595)";410
55.7474082;37.7928296;"Школа № 2072";"Школа № 2072";411
55.6088399;37.7537866;"Школа № 949";"Школа № 949";412
55.727833;37.5233125;"Школа № 74";"Школа № 74";413
55.430216;36.8711166;"Школа № 1391";"Школа № 1391";414
55.759527;37.783635;"Школа № 1637";"Школа № 1637";415
55.881636;37.561895;"Школа № 222";"Школа № 222";416
55.6533318;37.4696567;"Школа Тропарево";"Школа Тропарево";417
55.7160813;37.4158876;"Школа № 1195";"Школа № 1195";418
55.8869996;37.392116;"Школа № 1985";"Школа № 1985";419
55.7367257;37.6811591;"Открытая (сменная) школа № 88";"Открытая (сменная) школа № 88";420
55.5404584;37.5078162;"Школа № 1492";"Школа № 1492";421
55.6832957;37.5240187;"Школа № 7";"Школа № 7";422
55.8073693;37.4027477;"Школа № 86 имени М.Е. Катукова";"Школа № 86 имени М.Е. Катукова";423
55.8507941;37.3576718;"Школа № 1191";"Школа № 1191";424
55.8175466;37.6210381;"Многопрофильная школа № 1220";"Многопрофильная школа № 1220";425
55.5518219;37.5688366;"Школа № 1161";"Школа № 1161";426
55.677479;37.4461045;"Школа № 2025";"Школа № 2025";427
55.8245097;37.8295022;"Школа № 1598";"Школа № 1598";428
55.75592;37.779233;"Школа № 1852";"Школа № 1852";429
55.597886;37.1607833;"Школа № 2057";"Школа № 2057";430
55.825376;37.709883;"Кадетская школа-интернат № 5 Преображенский кадетский корпус";"Кадетская школа-интернат № 5 Преображенский кадетский корпус";431
55.7769058;37.8311046;"Школа № 1476";"Школа № 1476";432
55.7445557;37.7191863;"Школа № 1321 Ковчег";"Школа № 1321 Ковчег";433
55.5717033;37.4821824;"Школа № 2070";"Школа № 2070";434
55.8838234;37.6525229;"Первый Московский Образовательный Комплекс";"Первый Московский Образовательный Комплекс";435
55.8894;37.670975;"Школа № 283";"Школа № 283";436
55.7922782;37.5734485;"Школа № 1601 имени Героя Советского Союза Е.К. Лютикова";"Школа № 1601 имени Героя Советского Союза Е.К. Лютикова";437
55.889649;37.610206;"Школа Многопрофильный комплекс (ШМК) Бибирево";"Школа Многопрофильный комплекс (ШМК) Бибирево";438
55.8687643;37.7036761;"Многопрофильная школа № 1374";"Многопрофильная школа № 1374";439
55.7057524;37.9189629;"Школа № 2053";"Школа № 2053";440
55.8934883;37.5813824;"Школа № 1416 Лианозово";"Школа № 1416 Лианозово";441
55.6422309;37.6600623;"Школа № 2000";"Школа № 2000";442
55.8174203;37.5048877;"Школа № 717";"Школа № 717";443
55.7523128;37.8146427;"Школа № 1798 Феникс";"Школа № 1798 Феникс";444
55.6643429;37.4915318;"Школа № 875";"Школа № 875";445
55.8221779;37.5042347;"Школа № 90 имени Героя Советского Союза Е.Г. Ларикова";"Школа № 90 имени Героя Советского Союза Е.Г. Ларикова";446
55.827085;37.752975;"Школа № 1795 Лосиноостровская";"Школа № 1795 Лосиноостровская";447
55.6521349;37.5597352;"Школа № 15";"Школа № 15";448
55.6057055;37.6198447;"Школа № 657";"Школа № 657";449
55.6966844;37.7588787;"Московское президентское кадетское училище имени М.А. Шолохова войск Национальной Гвардии РФ";"Московское президентское кадетское училище имени М.А. Шолохова войск Национальной Гвардии РФ";450
55.6298605;37.7967271;"Школа в Капотне";"Школа в Капотне";451
55.9267371;37.542768;"Школа № 2044";"Школа № 2044";452
55.7456974;37.6375161;"Гимназия РГУ им. А.Н.Косыгина";"Гимназия РГУ им. А.Н.Косыгина";453
55.9874359;37.1555963;"Школа № 1151";"Школа № 1151";454
55.6068372;37.7292626;"Школа № 1636 НИКА";"Школа № 1636 НИКА";455
55.6368885;37.7556577;"Школа № 867";"Школа № 867";456
55.6791834;37.7520411;"Школа № 2121 имени Маршала Советского Союза С.К. Куркоткина";"Школа № 2121 имени Маршала Советского Союза С.К. Куркоткина";457
55.9350186;37.5563212;"Школа № 709";"Школа № 709";458
55.7440863;37.6369781;"Школа № 518";"Школа № 518";459
55.8011977;37.8245749;"Школа самоопределения № 734 имени А.Н. Тубельского";"Школа самоопределения № 734 имени А.Н. Тубельского";460
55.8754575;37.5799735;"Школа № 305";"Школа № 305";461
55.8157473;37.398419;"Школа № 69 имени Б.Ш. Окуджавы";"Школа № 69 имени Б.Ш. Окуджавы";462
55.67598;37.6954056;"Школа № 1770";"Школа № 1770";463
55.6712859;37.5232608;"Школа № 1311";"Школа № 1311";464
55.8143326;37.5585397;"Кадетская школа-интернат № 1 Первый Московский кадетский корпус";"Кадетская школа-интернат № 1 Первый Московский кадетский корпус";465
55.7599937;37.4040453;"Школа № 1130";"Школа № 1130";466
55.686362;37.7510069;"Школа имени Ф.М. Достоевского";"Школа имени Ф.М. Достоевского";467
55.7256117;37.4737954;"Школа № 1248";"Школа № 1248";468
55.663918;37.621579;"Школа № 504";"Школа № 504";469
55.697163;37.61963;"Школа № 630 имени дважды Героя Советского Союза Г.П. Кравченко";"Школа № 630 имени дважды Героя Советского Союза Г.П. Кравченко";470
55.8681802;37.5614715;"Школа № 183";"Школа № 183";471
55.6725062;37.7642452;"Школа № 2010 имени героя Советского Союза М.П. Судакова";"Школа № 2010 имени героя Советского Союза М.П. Судакова";472
55.8808476;37.7204202;"Школа № 760 имени А.П. Маресьева";"Школа № 760 имени А.П. Маресьева";473
55.7805595;37.4838417;"Школа № 1560 Лидер";"Школа № 1560 Лидер";474
55.7064635;37.4746498;"Школа № 814";"Школа № 814";475
55.7898619;37.7408256;"Школа № 1362 с углубленным изучением английского языка";"Школа № 1362 с углубленным изучением английского языка";476
55.7143382;37.7923766;"Школа № 2090 имени Героя Советского Союза Л.Х. Паперника";"Школа № 2090 имени Героя Советского Союза Л.Х. Паперника";477
55.8226672;37.5159921;"Политехнический колледж им. Н.Н. Годовикова";"Политехнический колледж им. Н.Н. Годовикова";478
55.6334331;37.6653997;"Школа № 904";"Школа № 904";479
55.997985;37.220921;"Школа № 609";"Школа № 609";480
55.7283845;37.7699417;"Школа № 777 имени Героя Советского Союза Е.В. Михайлова";"Школа № 777 имени Героя Советского Союза Е.В. Михайлова";481
55.8474401;37.3649613;"Школа № 1190";"Школа № 1190";482
55.5738638;37.5866155;"Школа № 1613";"Школа № 1613";483
55.6514839;37.735602;"Школа № 2087 Открытие";"Школа № 2087 Открытие";484
55.8038513;37.6881603;"Школа № 1404 Гамма";"Школа № 1404 Гамма";485
55.827683;37.5919754;"Школа № 1494";"Школа № 1494";486
55.6721273;37.7696133;"Школа № 460 имени дважды Героев Советского Союза А.А. Головачёва и С.Ф. Шутова";"Школа № 460 имени дважды Героев Советского Союза А.А. Головачёва и С.Ф. Шутова";487
55.7002791;37.6829368;"Школа № 2129 имени Героя Советского Союза П.И. Романова";"Школа № 2129 имени Героя Советского Союза П.И. Романова";488
55.867218;37.534191;"Школа № 2100";"Школа № 2100";489
55.6838905;37.7197428;"Школа Спектр";"Школа Спектр";490
55.587687;37.595159;"Школа № 629";"Школа № 629";491
55.7969033;37.4008718;"Школа № 1155";"Школа № 1155";492
55.6433135;37.718725;"Школа Марьино имени маршала авиации А.Е. Голованова";"Школа Марьино имени маршала авиации А.Е. Голованова";493
55.9844256;37.1860473;"Школа № 719";"Школа № 719";494
55.818832;37.808044;"Школа № 1078";"Школа № 1078";495
55.7649002;37.6492704;"Школа № 1621 Древо Жизни";"Школа № 1621 Древо Жизни";496
55.7812524;37.464492;"Школа № 138";"Школа № 138";497
55.860588;37.60891;"Школа № 950";"Школа № 950";498
55.5914141;37.6053074;"Школа № 924";"Школа № 924";499
55.671564;37.590057;"Школа № 626 имени Н.И. Сац";"Школа № 626 имени Н.И. Сац";500
55.7710558;37.68746;"Школа № 1247 имени Юргиса Балтрушайтиса";"Школа № 1247 имени Юргиса Балтрушайтиса";501
55.8066889;37.7597725;"Школа № 319";"Школа № 319";502
55.8329953;37.4593203;"Школа № 830";"Школа № 830";503
55.8015397;37.7210388;"Школа № 1080";"Школа № 1080";504
56.005848;37.211821;"Школа № 842";"Школа № 842";505
55.7247546;37.4220195;"Западный комплекс непрерывного образования";"Западный комплекс непрерывного образования";506
55.817502;37.493263;"Школа № 2099";"Школа № 2099";507
55.9821072;37.1649742;"Школа № 1912 имени Бауыржана Момышулы";"Школа № 1912 имени Бауыржана Момышулы";508
55.8023627;37.3948787;"Школа № 705";"Школа № 705";509
55.7566899;37.5946599;"Школа № 2123 имени Мигеля Эрнандеса";"Школа № 2123 имени Мигеля Эрнандеса";510
55.7975906;37.7847828;"Школа № 2094";"Школа № 2094";511
55.7362267;37.3995264;"Колледж градостроительства, транспорта и технологий № 41";"Колледж градостроительства, транспорта и технологий № 41";512
55.805907;37.54833;"Инженерно-техническая школа имени дважды Героя Советского Союза П.Р. Поповича";"Инженерно-техническая школа имени дважды Героя Советского Союза П.Р. Поповича";513
55.4263229;37.2682715;"Школа № 2075";"Школа № 2075";514
55.6749938;37.7412903;"Школа № 338 имени Героя Советского Союза А.Ф. Авдеева";"Школа № 338 имени Героя Советского Союза А.Ф. Авдеева";515
55.6523093;37.5770888;"Школа № 538 имени С.В. Гришина";"Школа № 538 имени С.В. Гришина";516
55.945614;37.347084;"Школа Перспектива";"Школа Перспектива";517
55.6060825;37.5524682;"Школа № 1103 имени Героя Российской Федерации А.В. Соломатина";"Школа № 1103 имени Героя Российской Федерации А.В. Соломатина";518
56.003259;37.7925774;"Школа № 448";"Школа № 448";519
55.8840814;37.5944335;"Школа № 1370";"Школа № 1370";520
55.758499;37.797038;"Школа № 423";"Школа № 423";521
55.6679873;37.7212859;"Московский образовательный комплекс имени Виктора Талалихина";"Московский образовательный комплекс имени Виктора Талалихина";522
55.7452042;37.559905;"Школа № 1465 имени адмирала Н.Г. Кузнецова";"Школа № 1465 имени адмирала Н.Г. Кузнецова";523
55.5447035;37.5537737;"Школа № 1065";"Школа № 1065";524
55.7324258;37.4235842;"Школа № 806";"Школа № 806";525
55.6309238;37.48694;"ГБОУ Центр образования Самбо-70 Департамента физической культуры и спорта города Москвы";"ГБОУ Центр образования Самбо-70 Департамента физической культуры и спорта города Москвы";526
55.8915309;37.5606824;"Школа № 1678 Восточное Дегунино";"Школа № 1678 Восточное Дегунино";527
55.5147815;37.5310959;"Школа № 2122";"Школа № 2122";528
55.8439731;37.5654347;"Школа № 1213";"Школа № 1213";529
55.8066415;37.6891662;"АНО Школа «Академическая гимназия»";"АНО Школа «Академическая гимназия»";530
55.6851996;37.5775429;"Образовательный комплекс Юго-Запад";"Образовательный комплекс Юго-Запад";531
55.6161508;37.7257319;"Школа № 939";"Школа № 939";532
55.6426575;37.3414097;"Школа № 1432";"Школа № 1432";533
55.7627365;37.5468665;"Школа № 2055 имени Героев Советского Союза Анатолия Живова и Юрия Костикова";"Школа № 2055 имени Героев Советского Союза Анатолия Живова и Юрия Костикова";534
55.7467268;37.7783068;"Школа № 920";"Школа № 920";535
55.8840152;37.7133136;"Московский колледж архитектуры и градостроительства";"Московский колледж архитектуры и градостроительства";536
55.812064;37.490389;"Технический пожарно-спасательный колледж имени Героя Российской Федерации В.М. Максимчука";"Технический пожарно-спасательный колледж имени Героя Российской Федерации В.М. Максимчука";537
55.6548643;37.5634784;"ГБОУ ЦСиО «Московская экспериментальная школа»";"ГБОУ ЦСиО «Московская экспериментальная школа»";538
55.8286266;37.4447088;"Московский государственный образовательный комплекс";"Московский государственный образовательный комплекс";539
55.778887;37.686744;"Школа № 1429 имени Героя Советского Союза Н.А. Боброва";"Школа № 1429 имени Героя Советского Союза Н.А. Боброва";540
55.8437608;37.4403736;"Колледж полиции";"Колледж полиции";541
55.7265082;37.637766;"Колледж малого бизнеса № 4";"Колледж малого бизнеса № 4";542
55.8242398;37.7767126;"Технологический колледж № 21";"Технологический колледж № 21";543
55.7095143;37.5887473;"Колледж сферы услуг № 32";"Колледж сферы услуг № 32";544
55.856146;37.6806467;"Колледж современных технологий имени Героя Советского Союза М.Ф. Панова";"Колледж современных технологий имени Героя Советского Союза М.Ф. Панова";545
55.7386967;37.6549185;"Колледж связи № 54 имени П.М. Вострухина";"Колледж связи № 54 имени П.М. Вострухина";546
55.7705875;37.5663769;"Московский колледж бизнес-технологий";"Московский колледж бизнес-технологий";547
