Широта;Долгота;Описание;Подпись;"Номер метки"
55.746813;37.5700668;"Медицинский Сеченовский Предуниверсарий";"Медицинский Сеченовский Предуниверсарий";72
55.8772893;37.5627935;"Школа № 1296";"Школа № 1296";73
55.7437345;37.6647347;"Школа № 1270 Вектор";"Школа № 1270 Вектор";74
55.6942029;37.5069658;"Школа № 1498 Московская Международная Школа";"Школа № 1498 Московская Международная Школа";75
55.8044204;37.4708753;"Курчатовская школа";"Курчатовская школа";76
55.8001768;37.5418753;"Школа Технологии обучения";"Школа Технологии обучения";77
55.7805348;37.4773356;"Школа № 1515";"Школа № 1515";78
55.9000474;37.3823695;"Школа № 1298 Профиль Куркино";"Школа № 1298 Профиль Куркино";79
55.8681156;37.6540906;"Школа № 1558 имени Росалии де Кастро";"Школа № 1558 имени Росалии де Кастро";80
55.6905586;37.500361;"Школа № 1434 Раменки";"Школа № 1434 Раменки";81
55.634852;37.59657;"Школа № 1158";"Школа № 1158";82
55.8956799;37.6161528;"Школа Глория";"Школа Глория";83
55.629732;37.6043427;"Центр спорта и образования (ЦОС) «Чертаново»";"Центр спорта и образования (ЦОС) «Чертаново»";84
55.8213556;37.5043219;"Школа № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских";"Школа № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских";85
55.7441042;37.621423;"Школа № 1799";"Школа № 1799";86
55.7877562;37.5957662;"Школа № 1501";"Школа № 1501";87
55.7849829;37.453083;"Школа № 1517";"Школа № 1517";88
55.7797415;37.5969288;"Школа № 1574";"Школа № 1574";89
55.7827508;37.6741332;"Школа № 315";"Школа № 315";90
55.6726615;37.4927184;"Школа № 324 Жар-птица";"Школа № 324 Жар-птица";91
55.80364;37.6330973;"Школа № 1531 имени С. К. Годовикова";"Школа № 1531 имени С. К. Годовикова";92
55.6950039;37.5489202;"Школа № 2086";"Школа № 2086";93
55.703495;37.938145;"Школа №2048";"Школа №2048";94
55.7166569;37.4611271;"Школа № 1589";"Школа № 1589";95
55.8167688;37.8317562;"Школа № 1516";"Школа № 1516";96
55.8297341;37.4852734;"Школа № 1250";"Школа № 1250";97
55.7728852;37.482163;"Школа № 1522 имени В.И. Чуркина";"Школа № 1522 имени В.И. Чуркина";98
55.8245863;37.6248542;"Школа № 1415 Останкино";"Школа № 1415 Останкино";99
55.6409883;37.3510787;"Школа № 1018";"Школа № 1018";100
55.6618386;37.7770463;"Школа № 1547";"Школа № 1547";101
55.7676272;37.6384124;"Школа № 1284";"Школа № 1284";102
55.79561;37.728634;"Школа № 1505 Преображенская";"Школа № 1505 Преображенская";103
55.875187;37.55544;"Школа № 1592 имени Героя Российской Федерации Е.Н. Чернышёва";"Школа № 1592 имени Героя Российской Федерации Е.Н. Чернышёва";104
55.8054949;37.5006982;"Школа № 149 имени Героя Советского Союза Ю.Н. Зыкова";"Школа № 149 имени Героя Советского Союза Ю.Н. Зыкова";105
55.7664007;37.5846404;"Школа № 1950";"Школа № 1950";106
55.7045383;37.756902;"Школа № 641 имени Сергея Есенина";"Школа № 641 имени Сергея Есенина";107
55.7404491;37.4953478;"Школа Интеграл";"Школа Интеграл";108
55.6652453;37.7513247;"Школа имени Артема Боровика";"Школа имени Артема Боровика";109
55.8528231;37.6421648;"Школа Свиблово";"Школа Свиблово";110
55.8483157;37.4440386;"Школа № 1056";"Школа № 1056";111
55.7605894;37.604849;"Школа № 1520 имени Капцовых";"Школа № 1520 имени Капцовых";112
55.8644191;37.6135062;"Школа № 1554";"Школа № 1554";113
55.708057;37.6639151;"Школа № 1272";"Школа № 1272";114
55.6054904;37.7093277;"Школа № 1207";"Школа № 1207";115
55.6005531;37.6555231;"Школа № 508";"Школа № 508";116
55.7319115;37.6077496;"Московский академический художественный лицей при Российской академии художеств (МАХЛ РАХ)";"Московский академический художественный лицей при Российской академии художеств (МАХЛ РАХ)";117
55.6149504;37.5333606;"Школа № 1206";"Школа № 1206";118
55.7429257;37.4105427;"Школа № 1293";"Школа № 1293";119
55.7991397;37.4872442;"ГБОУ школа № 1212 Щукино";"ГБОУ школа № 1212 Щукино";120
55.7024936;37.5125799;"Шуваловская школа № 1448";"Шуваловская школа № 1448";121
55.8496923;37.4946294;"Школа № 1583 имени К. А. Керимова";"Школа № 1583 имени К. А. Керимова";122
55.8622149;37.5031626;"Школа № 1590 имени Героя Советского Союза В.В. Колесника";"Школа № 1590 имени Героя Советского Союза В.В. Колесника";123
55.7938063;37.7956107;"Измайловская школа № 1508";"Измайловская школа № 1508";124
55.5920421;37.5404783;"Школа им. Н.М. Карамзина";"Школа им. Н.М. Карамзина";125
55.7800345;37.6426221;"Школа № 2107";"Школа № 2107";126
55.7579767;37.6024161;"Школа № 123";"Школа № 123";127
55.6466156;37.399957;"Школа № 1542";"Школа № 1542";128
55.8368536;37.5353998;"Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой";"Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой";129
55.7245114;37.6350524;"Школа № 627 имени Генерала Д.Д. Лелюшенко";"Школа № 627 имени Генерала Д.Д. Лелюшенко";130
55.8274009;37.6531128;"Школа № 293 имени А.Т. Твардовского";"Школа № 293 имени А.Т. Твардовского";131
55.833851;37.4487093;"Школа № 1285";"Школа № 1285";132
55.7688783;37.6879305;"Школа на Яузе";"Школа на Яузе";133
55.6568572;37.5802889;"Школа № 554";"Школа № 554";134
55.8032687;37.644938;"Гимназия РУТ (МИИТ)";"Гимназия РУТ (МИИТ)";135
55.8081364;37.7795705;"Школа № 2033";"Школа № 2033";136
55.874339;37.519306;"Школа № 2098 Многопрофильный образовательный центр имени Героя Советского Союза Л.М. Доватора";"Школа № 2098 Многопрофильный образовательный центр имени Героя Советского Союза Л.М. Доватора";137
55.7620773;37.4136717;"Школа № 1371 Крылатское";"Школа № 1371 Крылатское";138
55.8897955;37.6508317;"Школа № 1506";"Школа № 1506";139
55.753481;37.5901746;"Школа № 1234";"Школа № 1234";140
55.475363;37.300808;"Лицей города Троицка";"Лицей города Троицка";141
55.7576259;37.4126799;"Школа № 1440";"Школа № 1440";142
55.8065249;37.4193917;"Школа № 1302";"Школа № 1302";143
55.7092495;37.5135386;"Школа № 1586";"Школа № 1586";144
55.8564662;37.3469145;"Школа № 1358";"Школа № 1358";145
55.5033656;37.5790235;"Школа № 2109";"Школа № 2109";146
55.746608;37.549588;"Школа № 56 имени академика В.А. Легасова";"Школа № 56 имени академика В.А. Легасова";147
